address,lat,lng
浦东新区人民东路2729弄,31.049041,121.761795
浦东新区拱北路278弄,31.057776,121.777211
浦东新区俱进路285弄,31.302749,121.609358
浦东新区龙三路84弄,31.218264,121.594815
浦东新区永泰路630弄,31.137685,121.517714
浦东新区城南路1259号,31.041871,121.778585
浦东新区城南路918弄,31.04038,121.769951
浦东新区远东村,31.04042,121.803461
浦东新区福缘路58号,31.036653,121.75969
浦东新区中界村陈家宅,31.191897,121.567836
浦东新区上南路2985号,31.165364,121.497535
浦东新区清溪路400弄,31.340954,121.571166
浦东新区季景北路王家街,31.34792,121.58043
浦东新区南泉小区,31.213072,121.522174
浦东新区康沈路1548号,31.118505,121.575177
浦东新区姜薛家宅,31.261461,121.662123
浦东新区张杨北路588弄,31.267341,121.590564
浦东新区东陆路807号,31.276476,121.591443
浦东新区上浦路202弄,31.144632,121.492888
浦东新区高斯路1296弄,31.199972,121.617555
浦东新区高宝路68弄,31.289411,121.618319
浦东新区黄路村,31.0303,121.764284
浦东新区城西路106号,31.044704,121.749468
浦东新区人民西路1533弄,31.047541,121.727054
浦东新区东陆路1456弄,31.266971,121.601679
浦东新区杨高北路3885弄,31.284151,121.607564
浦东新区顾高路1308号,31.295278,121.639541
浦东新区拱极路2626弄,31.05348,121.774319
浦东新区上游村卢家宅,31.308374,121.631559
浦东新区南园路226弄,31.031918,121.746214
浦东新区行德路141弄,31.294905,121.610968
浦东新区东沟二村,31.293521,121.576794
浦东新区惠东路147号,31.044756,121.765439
浦东新区桥北村,31.016709,121.801009
浦东新区凌兆路99弄,31.141575,121.492221
浦东新区博华路999弄,31.170129,121.549868
浦东新区杨高中路10弄,31.257681,121.598243
浦东新区莲溪路477弄,31.182923,121.563369
黄浦区鲁班路721弄,31.197163,121.478601
黄浦区鲁班路388弄,31.201544,121.47458
黄浦区顺昌路612弄27号,31.21118,121.479227
黄浦区吉安路157号,31.219295,121.480634
黄浦区局门后路85弄,31.208539,121.480791
黄浦区方斜路534号,31.212798,121.482644
黄浦区斜土路486弄,31.202535,121.477515
黄浦区建德路1号,31.209944,121.468257
黄浦区合肥路349弄,31.213609,121.473311
黄浦区丽园路873号,31.206754,121.476114
黄浦区丽园路875号,31.206751,121.475975
黄浦区黄陂南路506弄,31.218208,121.47597
黄浦区瞿溪路904弄,31.199816,121.479238
黄浦区长乐路169弄,31.221041,121.462248
黄浦区香港路55号,31.242708,121.487023
黄浦区唐家湾路158号,31.213812,121.481536
黄浦区兴安路98弄,31.221098,121.470732
黄浦区蒙自西路28弄3号,31.207044,121.475978
黄浦区茂名南路9弄,31.222929,121.461577
黄浦区泰康路268号,31.207644,121.468485
静安区长临路380弄,31.318317,121.437098
静安区茂名北路93号,31.225469,121.460172
静安区长宁路209弄,31.225421,121.428887
静安区新闸路777弄,31.23547,121.460989
静安区奉贤路68弄,31.232206,121.461059
静安区灵石路817弄,31.281528,121.435595
静安区普善路239弄,31.258024,121.456191
静安区中山北路899弄,31.262346,121.456106
静安区柳营路1085号,31.260592,121.449175
静安区普善路390弄,31.260169,121.453761
静安区柳营路1025弄,31.261842,121.450322
静安区高平路809弄,31.291829,121.425309
徐汇区天钥桥路380弄,31.188076,121.439853
徐汇区乐山路10弄,31.196931,121.432289
徐汇区斜土路2601号,31.187549,121.443156
徐汇区南丹东路168弄,31.189129,121.440964
徐汇区永嘉路386弄,31.208531,121.456184
徐汇区淮海中路1326号,31.213231,121.449527
徐汇区安福路163号,31.21415,121.444726
徐汇区汾阳路9弄,31.213843,121.455699
徐汇区零陵路231号,31.192685,121.459507
徐汇区中山南二路988弄,31.183127,121.445075
徐汇区宛平南路420弄,31.189759,121.447199
徐汇区大木桥路600弄,31.192847,121.463272
徐汇区桂林路303弄,31.168593,121.418489
徐汇区汇成一村,31.146969,121.432129
徐汇区汇成五村,31.142082,121.435484
徐汇区罗城路799弄,31.148021,121.434165
徐汇区罗秀路213号,31.13288,121.447485
徐汇区罗秀路2号,31.133515,121.439373
徐汇区上中路289弄,31.139121,121.443239
徐汇区上中路285号,31.139188,121.442735
徐汇区罗秀路210号,31.134681,121.445933
徐汇区柳州路181弄,31.159284,121.427993
徐汇区桂林西街14弄,31.154931,121.419092
徐汇区罗秀路850弄,31.131603,121.432968
徐汇区梅陇路130号,31.143139,121.42501
徐汇区老沪闵路1055弄,31.129863,121.434737
徐汇区龙州路975号,31.138593,121.422003
徐汇区罗秀路873号,31.131248,121.433193
徐汇区罗秀路845号-3,31.131332,121.433939
徐汇区梅陇路300号,31.137958,121.417761
徐汇区凌云路38号-107,31.130304,121.423155
徐汇区上中西路55弄,31.135173,121.431013
徐汇区康健路43弄,31.166235,121.431247
徐汇区龙吴路2588弄,31.114427,121.457386
长宁区汇川路88弄,31.217096,121.418002
长宁区宣化路113弄,31.217253,121.429346
长宁区宣化路57弄,31.217222,121.429495
长宁区天山西路568号,31.219006,121.360414
长宁区剑河路599弄,31.207147,121.368871
长宁区绥宁路628号,31.215571,121.345043
长宁区玉屏南路725号,31.214778,121.40105
长宁区福泉路120弄,31.215921,121.358681
长宁区东诸安浜路180弄,31.21859,121.432933
普陀区东新路99弄,31.240225,121.430089
普陀区平利路21弄,31.27098,121.430291
普陀区志丹路500弄,31.271108,121.431307
普陀区万泉路122弄,31.268827,121.399762
普陀区宜川四村,31.26382,121.443797
普陀区古浪路55弄,31.280799,121.398116
普陀区南大街东江海小区,31.246356,121.401038
普陀区真北路3725弄,31.284892,121.39886
普陀区甘泉路5弄,31.263986,121.435532
普陀区曹杨二村,31.244152,121.405693
普陀区桂巷新村,31.239214,121.39971
普陀区白丽路701弄,31.288364,121.344422
普陀区中山北路2655弄,31.243101,121.419412
普陀区中山北路2451弄,31.245892,121.42335
普陀区中华新路1140弄,31.255799,121.449938
虹口区广灵四路280弄,31.28804,121.474085
虹口区四川北路1545号,31.25575,121.48318
杨浦区政悦路588弄,31.334704,121.524443
杨浦区包头路179弄,31.310414,121.538461
杨浦区控江路1209号,31.277553,121.526526
杨浦区三门路333号,31.311581,121.501085
杨浦区睿达路66弄,31.327534,121.501678
杨浦区凤城三村,31.281809,121.521856
杨浦区顺平路59弄,31.283263,121.556172
宝山区大华路301弄,31.270445,121.416207
宝山区祁连二村C街坊,31.315482,121.377984
宝山区大华路455弄,31.271072,121.415679
宝山区华灵路1225弄,31.281709,121.4194
宝山区虎林路135弄,31.333045,121.460433
宝山区新沪路285弄,31.269279,121.418038
宝山区菊联路89弄,31.34786,121.367846
宝山区新沪路475弄,31.27086,121.418689
宝山区菊泉街400弄,31.35393,121.37464
宝山区新沪路837弄,31.270766,121.416633
宝山区月罗路1201弄,31.416889,121.388889
宝山区新沪路1060弄,31.273446,121.419002
闵行区虹梅南路990号,31.124498,121.423716
闵行区银都路2688弄,31.09821,121.406725
闵行区许浦村,31.224595,121.337166
闵行区浦申路1288弄,31.094996,121.500863
闵行区联航路2015弄,31.072542,121.505258
闵行区联航路2165弄,31.071736,121.502032
闵行区富岩路328弄,31.032755,121.370924
闵行区罗秀路1377号,31.128446,121.417786
